titulo,autor,ano,status,busca
"Ruby, My Dear",Thelonious Monk,1945,1,completa
Russian Lullaby,Irving Berlin,1927,1,completa
Salute To Bandbox,Gigi Gryce / Clifford Brown,1958,1,completa
Samba De Orfeu,Luiz Bonfá,1959,1,completa
Samba do Avião,,,1,titulo
Santa Claus Is Comin’ to Town,,,1,titulo
Satin Doll,Duke Ellington / Billy Strayhorn /Johnny Mercer,1953,1,completa
Scotch and Soda,Dave Guard,1958,1,completa
Scrapple from the Apple,Charlie Parker,1947,1,completa
Second Line Parade,Traditional,,1,completa
Sent For You Yesterday,William ‘Count’ Basie / Eddie Durham / James Andrew Rushing,1938,1,completa
Sentimental Journey,Les Brown / Ben Homer,1944,1,completa
September Song,Kurt Weill / Maxwell Anderson,1938,0,
