Titulo,Autor,Ano
Sentimental Journey,Les Brown / Ben Homer,1944
September Song,Kurt Weill / Maxwell Anderson,1938
Shape of my heart,,
Shine,Ford Dabney / Cecil Mack / Tin Pan Alley / Lew Brown,1910
Shoo Shoo Baby,Phil Moore,1943
"Sing, Sing, Sing",Louis Prima,1936
Sister Sadie,,
Skylark,Johnny Mercer / Hoagy Carmichael,1942
Sleepy Time Down South,Clarence Muse / Leon René / Otis René,1931
Smok Gets In Your Eyes,Otto Harbach / Jerome Kern,1933
Smoke on the Water,Ritchie Blackmore / Ian Gillan / Roger Glover / Jon Lord / Ian Paice,1971
Só Danço Samba,Antonio Carlos Jobim / Vinicius DeMoraes / Norman Gimbel,1962
"Softly, as in a Morning Sunrise",Sigmund Romberg / Oscar Hammerstein II,1928
Solid,Sonny Rollins,1956
Some of These Days,Shelton Brooks,1910
Somebody Stole My Gal,Leo Wood,1918
Someday My Prince Will Come,Frank Churchill / Larry Morey,1937
Someday (You’ll Be Sorry),Louis Armstrong,1955
Someday (You’ll Want Me to Want You),Jimmy Hodges,1940
Sometime Ago,Sergio Mihanovitch,1962
Sophisticated Lady,Duke Ellington / Irving Mills / Mitchell Parish,1932
Soul Bossa Nova,Quincy Jones,1962
Soul Eyes,Mal Waldron,1957
Spain,,
Speak Low,Kurt Weill / Ogden Nash,1943
Splanky,Neal Paul Hefti,1950
S’posin’,Andy Razaf / Paul Denniker,1929
St. James Infirmary,Don Redman / Irving Mills,1928
St Louis Blues,W. C. Handy,1914
St.Thomas,Sonny Rollins,1956
Stablemates,Benny Golson,1955
Stardust,Hoagy Carmichael,1927
Stars Fell on Alabama,Frank Perkins / Mitchell Parish,1934
Stella by Starlight,Victor Young,1944
Stompin At The Savoy,Edgar Sampson,1933
Stormy Weather,,
Straighten Up And Fly Right,Nat King Cole / Irving Mills,1943
Stranger on the Shore,,
Strangers in the Night,Bert Kaempfert / Charles Singleton / Eddie Snyder,1966
Struttin` With Some Barbeque,Lillian Hardin Armstrong / Don Raye,1928
Summer Samba,Marcos Valle / Norman Gimbel / Paulo Sérgio Valle,1964
